k1     a1     p1     k2     a2     p2     k3     a3     p3     u1   u2   nll  
1.89982 1.19282 0.431819 0.098102 1.03519 -0.304276  0.00851351 0.953343 0.475541 0.899675 0.800001 1.29873e+06 0.147124
1.89982 1.19261 0.431564 0.0980867 1.03627 -0.303134  0.00851248 0.953684 0.475186 0.899672 0.800001 1.29496e+06 0.14691
1.89982 1.1924 0.431285 0.0980713 1.03735 -0.301994  0.0085114 0.95402 0.474828 0.89967 0.8 1.29147e+06 0.146713
1.89981 1.19219 0.431041 0.0980559 1.03843 -0.300848  0.00851038 0.954361 0.474478 0.899667 0.8 1.2877e+06 0.146498
1.89981 1.19197 0.430752 0.0980406 1.0395 -0.299707  0.00850927 0.954691 0.47412 0.899665 0.8 1.28393e+06 0.146283
1.89981 1.19176 0.430493 0.0980252 1.04058 -0.29856  0.00850822 0.955027 0.473769 0.899662 0.8 1.28015e+06 0.146068
1.89981 1.19154 0.430211 0.0980099 1.04165 -0.297415  0.00850711 0.955357 0.473416 0.89966 0.8 1.27666e+06 0.145869
1.89981 1.19134 0.429963 0.0979945 1.04273 -0.296263  0.00850608 0.955693 0.473069 0.899658 0.8 1.27288e+06 0.145653
1.89981 1.19111 0.429671 0.0979791 1.0438 -0.295116  0.00850495 0.956018 0.472715 0.899655 0.8 1.26911e+06 0.145437
1.89981 1.1909 0.429409 0.0979638 1.04488 -0.293964  0.00850387 0.956349 0.472369 0.899653 0.8 1.26533e+06 0.14522
1.89981 1.19068 0.429124 0.0979484 1.04595 -0.292813  0.00850274 0.956673 0.472019 0.89965 0.8 1.26184e+06 0.145019
1.89981 1.19047 0.428872 0.097933 1.04703 -0.291656  0.00850168 0.957003 0.471677 0.899648 0.8 1.25806e+06 0.144802
1.8998 1.19025 0.428577 0.0979177 1.04809 -0.290505  0.00850053 0.957323 0.471326 0.899645 0.8 1.25428e+06 0.144585
1.8998 1.19004 0.428311 0.0979023 1.04917 -0.289347  0.00849944 0.957648 0.470983 0.899643 0.8 1.2505e+06 0.144366
1.8998 1.18982 0.428024 0.097887 1.05023 -0.288191  0.00849829 0.957968 0.470637 0.89964 0.799999 1.247e+06 0.144164
